"title","section","char_count","word_count"
"Статья 35. Предъявление иска по адресу или месту жительства ответчика","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",240,33
"Статья 36. Подсудность по выбору истца","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",1559,211
"Статья 37. Договорная подсудность","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",201,26
"Статья 38. Исключительная подсудность","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",5888,760
"Статья 39. Передача дела, принятого арбитражным судом к своему производству, из одного суда в другой суд","Глава 4. КОМПЕТЕНЦИЯ АРБИТРАЖНЫХ СУДОВ",2600,372
"Статья 40. Состав лиц, участвующих в деле","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",502,64
"Статья 41. Права и обязанности лиц, участвующих в деле","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",2610,325
"Статья 42. Права лиц, не участвовавших в деле, о правах и об обязанностях которых арбитражный суд принял судебный акт","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",560,80
"Статья 43. Процессуальная правоспособность и процессуальная дееспособность","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",720,83
"Статья 44. Стороны","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",313,43
"Статья 45. Заявители","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",379,48
"Статья 46. Участие в деле нескольких истцов или ответчиков","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1879,263
"Статья 47. Замена ненадлежащего ответчика","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",960,135
"Статья 48. Процессуальное правопреемство","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",863,116
"Статья 49. Изменение основания или предмета иска, изменение размера исковых требований, отказ от иска, признание иска, мировое соглашение","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1155,157
"Статья 50. Третьи лица, заявляющие самостоятельные требования относительно предмета спора","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1324,163
"Статья 51. Третьи лица, не заявляющие самостоятельных требований относительно предмета спора","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",2036,270
"Статья 52. Участие в деле прокурора","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",6318,731
"Статья 53. Обращение в защиту публичных интересов, прав и законных интересов других лиц","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1114,154
"Статья 53<sup>1</sup>. Участие в деле Уполномоченного при Президенте Российской Федерации по защите прав предпринимателей, уполномоченных по защите прав предпринимателей в субъектах Российской Федерации","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",944,115
"Статья 54. Иные участники арбитражного процесса","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",342,43
"Статья 55. Эксперт","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1664,214
"Статья 55<sup>1</sup>. Специалист","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",829,104
"Статья 56. Свидетель","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",2650,346
"Статья 57. Переводчик","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1285,164
"Статья 58. Помощник судьи. Секретарь судебного заседания","Глава 5. ЛИЦА, УЧАСТВУЮЩИЕ В ДЕЛЕ, И ИНЫЕ УЧАСТНИКИ АРБИТРАЖНОГО ПРОЦЕССА",1452,187
"Статья 59. Ведение дел в арбитражном суде через представителей","Глава 6. ПРЕДСТАВИТЕЛЬСТВО В АРБИТРАЖНОМ СУДЕ",1841,240
"Статья 60. Лица, которые не могут быть представителями в арбитражном суде","Глава 6. ПРЕДСТАВИТЕЛЬСТВО В АРБИТРАЖНОМ СУДЕ",722,95
"Статья 61. Оформление и подтверждение полномочий представителя","Глава 6. ПРЕДСТАВИТЕЛЬСТВО В АРБИТРАЖНОМ СУДЕ",2036,258
"Статья 62. Полномочия представителя","Глава 6. ПРЕДСТАВИТЕЛЬСТВО В АРБИТРАЖНОМ СУДЕ",1032,133
"Статья 63. Проверка полномочий лиц, участвующих в деле, и их представителей","Глава 6. ПРЕДСТАВИТЕЛЬСТВО В АРБИТРАЖНОМ СУДЕ",1044,137
"Статья 64. Доказательства","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1113,133
"Статья 65. Обязанность доказывания","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1699,214
"Статья 66. Представление и истребование доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",3815,474
"Статья 67. Относимость доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",533,72
"Статья 68. Допустимость доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",206,22
"Статья 69. Основания освобождения от доказывания","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1446,187
"Статья 70. Освобождение от доказывания обстоятельств, признанных сторонами","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",2178,265
"Статья 71. Оценка доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1353,165
"Статья 72. Обеспечение доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1100,130
"Статья 73. Судебные поручения","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",888,101
"Статья 74. Порядок выполнения судебного поручения","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1146,142
"Статья 74<sup>1</sup>. Запросы третейского суда о содействии в получении доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",3393,431
"Статья 75. Письменные доказательства","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",3132,378
"Статья 76. Вещественные доказательства","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",338,39
"Статья 77. Хранение вещественных доказательств","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",583,73
"Статья 78. Осмотр и исследование письменных и вещественных доказательств по месту их нахождения","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1165,150
"Статья 79. Осмотр и исследование вещественных доказательств, подвергающихся быстрой порче","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",799,92
"Статья 80. Распоряжение вещественными доказательствами, находящимися в арбитражном суде","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",726,88
"Статья 81. Объяснения лиц, участвующих в деле","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",728,98
"Статья 82. Назначение экспертизы","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",2040,249
"Статья 83. Порядок проведения экспертизы","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",778,91
"Статья 84. Комиссионная экспертиза","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",509,58
"Статья 85. Комплексная экспертиза","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",713,92
"Статья 86. Заключение эксперта","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",1993,261
"Статья 87. Дополнительная и повторная экспертизы","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",583,74
"Статья 87<sup>1</sup>. Консультация специалиста","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",890,104
"Статья 88. Свидетельские показания","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",958,122
"Статья 89. Иные документы и материалы","Глава 7. ДОКАЗАТЕЛЬСТВА И ДОКАЗЫВАНИЕ",714,100
"Статья 90. Основания обеспечительных мер","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",1496,193
"Статья 91. Обеспечительные меры","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",1103,140
"Статья 92. Заявление об обеспечении иска","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",2158,283
"Статья 93. Порядок рассмотрения заявления об обеспечении иска","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",3024,393
"Статья 94. Встречное обеспечение","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",3202,403
"Статья 95. Замена одной обеспечительной меры другой","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",405,54
"Статья 96. Исполнение определения арбитражного суда об обеспечении иска","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",2100,275
"Статья 97. Отмена обеспечения иска арбитражным судом","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",1330,172
"Статья 98. Убытки и компенсации в связи с обеспечением иска","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",1311,185
"Статья 99. Предварительные обеспечительные меры","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",9007,1141
"Статья 100. Обеспечение исполнения судебных актов","Глава 8. ОБЕСПЕЧИТЕЛЬНЫЕ МЕРЫ АРБИТРАЖНОГО СУДА",167,19
"Статья 101. Состав судебных расходов","Глава 9. СУДЕБНЫЕ РАСХОДЫ",159,20
"Статья 102. Уплата государственной пошлины","Глава 9. СУДЕБНЫЕ РАСХОДЫ",334,41
"Статья 103. Цена иска","Глава 9. СУДЕБНЫЕ РАСХОДЫ",1061,138
"Статья 104. Основания и порядок возврата или зачета государственной пошлины","Глава 9. СУДЕБНЫЕ РАСХОДЫ",294,38
"Статья 105. Льготы по уплате государственной пошлины","Глава 9. СУДЕБНЫЕ РАСХОДЫ",272,35
"Статья 106. Судебные издержки","Глава 9. СУДЕБНЫЕ РАСХОДЫ",831,105
"Статья 107. Денежные суммы, подлежащие выплате экспертам, специалистам, свидетелям и переводчикам","Глава 9. СУДЕБНЫЕ РАСХОДЫ",1738,225
"Статья 108. Внесение сторонами денежных сумм, необходимых для оплаты судебных издержек","Глава 9. СУДЕБНЫЕ РАСХОДЫ",803,102
"Статья 109. Выплата денежных сумм, причитающихся экспертам, специалистам, свидетелям и переводчикам","Глава 9. СУДЕБНЫЕ РАСХОДЫ",1234,154
"Статья 110. Распределение судебных расходов между лицами, участвующими в деле","Глава 9. СУДЕБНЫЕ РАСХОДЫ",2566,328
"Статья 111. Отнесение судебных расходов на лицо, злоупотребляющее своими процессуальными правами","Глава 9. СУДЕБНЫЕ РАСХОДЫ",1038,129
"Статья 112. Разрешение вопросов о судебных расходах","Глава 9. СУДЕБНЫЕ РАСХОДЫ",1416,181
"Статья 113. Установление и исчисление процессуальных сроков","Глава 10. ПРОЦЕССУАЛЬНЫЕ СРОКИ",795,98
"Статья 114. Окончание процессуальных сроков","Глава 10. ПРОЦЕССУАЛЬНЫЕ СРОКИ",1372,177
"Статья 115. Последствия пропуска процессуальных сроков","Глава 10. ПРОЦЕССУАЛЬНЫЕ СРОКИ",510,62
"Статья 116. Приостановление процессуальных сроков","Глава 10. ПРОЦЕССУАЛЬНЫЕ СРОКИ",260,29
"Статья 117. Восстановление процессуальных сроков","Глава 10. ПРОЦЕССУАЛЬНЫЕ СРОКИ",1557,188
"Статья 118. Продление процессуальных сроков","Глава 10. ПРОЦЕССУАЛЬНЫЕ СРОКИ",337,43
"Статья 119. Наложение судебных штрафов","Глава 11. СУДЕБНЫЕ ШТРАФЫ",2050,270
"Статья 120. Порядок рассмотрения вопроса о наложении судебного штрафа","Глава 11. СУДЕБНЫЕ ШТРАФЫ",1557,202
"Статья 121. Судебные извещения","Глава 12. СУДЕБНЫЕ ИЗВЕЩЕНИЯ",5667,711
"Статья 122. Порядок направления арбитражным судом копий судебных актов","Глава 12. СУДЕБНЫЕ ИЗВЕЩЕНИЯ",3445,440
"Статья 123. Надлежащее извещение","Глава 12. СУДЕБНЫЕ ИЗВЕЩЕНИЯ",2868,356
"Статья 124. Изменение наименования лица, перемена адреса во время производства по делу","Глава 12. СУДЕБНЫЕ ИЗВЕЩЕНИЯ",1201,164
"Статья 125. Форма и содержание искового заявления","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",4126,524
"Статья 126. Документы, прилагаемые к исковому заявлению","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",2850,361
"Статья 127. Принятие искового заявления и возбуждение производства по делу","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",1342,177
"Статья 127<sup>1</sup>. Отказ в принятии искового заявления, заявления","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",2911,390
"Статья 128. Оставление искового заявления без движения","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",1236,162
"Статья 129. Возвращение искового заявления","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",2379,307
"Статья 130. Соединение и разъединение нескольких требований","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",3060,403
"Статья 131. Отзыв на исковое заявление","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",4187,563
"Статья 132. Предъявление встречного иска","Глава 13. ПРЕДЪЯВЛЕНИЕ ИСКА",1476,191
"Статья 133. Задачи подготовки дела к судебному разбирательству","Глава 14. ПОДГОТОВКА ДЕЛА К СУДЕБНОМУ РАЗБИРАТЕЛЬСТВУ",774,92
"Статья 134. Срок подготовки дела к судебному разбирательству","Глава 14. ПОДГОТОВКА ДЕЛА К СУДЕБНОМУ РАЗБИРАТЕЛЬСТВУ",1423,178
"Статья 135. Действия по подготовке дела к судебному разбирательству","Глава 14. ПОДГОТОВКА ДЕЛА К СУДЕБНОМУ РАЗБИРАТЕЛЬСТВУ",3529,430
"Статья 136. Предварительное судебное заседание","Глава 14. ПОДГОТОВКА ДЕЛА К СУДЕБНОМУ РАЗБИРАТЕЛЬСТВУ",2086,262
"Статья 137. Назначение дела к судебному разбирательству","Глава 14. ПОДГОТОВКА ДЕЛА К СУДЕБНОМУ РАЗБИРАТЕЛЬСТВУ",1377,178
"Статья 138. Примирение сторон","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",827,104
"Статья 138<sup>1</sup>. Порядок и сроки проведения примирительной процедуры","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",2103,258
"Статья 138<sup>2</sup>. Виды примирительных процедур","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",322,39
"Статья 138<sup>3</sup>. Переговоры","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",350,43
"Статья 138<sup>4</sup>. Медиация","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",391,49
"Статья 138<sup>5</sup>. Судебное примирение","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",2537,303
"Статья 138<sup>6</sup>. Результаты примирительных процедур","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",1076,139
"Статья 139. Заключение мирового соглашения","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",900,116
"Статья 140. Форма и содержание мирового соглашения","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",1824,232
"Статья 141. Утверждение арбитражным судом мирового соглашения","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",4439,580
"Статья 142. Исполнение мирового соглашения","Глава 15. ПРИМИРИТЕЛЬНЫЕ ПРОЦЕДУРЫ. МИРОВОЕ СОГЛАШЕНИЕ",425,50
"Статья 143. Обязанность арбитражного суда приостановить производство по делу","Глава 16. ПРИОСТАНОВЛЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",1618,201
"Статья 144. Право арбитражного суда приостановить производство по делу","Глава 16. ПРИОСТАНОВЛЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",1633,196
"Статья 145. Сроки приостановления производства по делу","Глава 16. ПРИОСТАНОВЛЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",861,121
"Статья 146. Возобновление производства по делу","Глава 16. ПРИОСТАНОВЛЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",328,43
"Статья 147. Порядок приостановления и возобновления производства по делу","Глава 16. ПРИОСТАНОВЛЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",401,52
"Статья 148. Основания для оставления искового заявления без рассмотрения","Глава 17. ОСТАВЛЕНИЕ ЗАЯВЛЕНИЯ БЕЗ РАССМОТРЕНИЯ",2582,357
"Статья 149. Порядок и последствия оставления искового заявления без рассмотрения","Глава 17. ОСТАВЛЕНИЕ ЗАЯВЛЕНИЯ БЕЗ РАССМОТРЕНИЯ",901,114
"Статья 150. Основания для прекращения производства по делу","Глава 18. ПРЕКРАЩЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",1494,209
"Статья 151. Порядок и последствия прекращения производства по делу","Глава 18. ПРЕКРАЩЕНИЕ ПРОИЗВОДСТВА ПО ДЕЛУ",1024,143
"Статья 152. Срок рассмотрения дела и принятия решения","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",1976,253
"Статья 153. Судебное заседание арбитражного суда","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",2145,280
"Статья 153<sup>1</sup>. Участие в судебном заседании путем использования систем видеоконференц-связи","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",3725,448
"Статья 153<sup>2</sup>. Участие в судебном заседании путем использования системы веб-конференции","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",2625,310
"Статья 154. Порядок в судебном заседании","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",2658,337
"Статья 155. Протокол","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",4392,552
"Статья 156. Рассмотрение дела при непредставлении отзыва на исковое заявление, дополнительных доказательств, а также в отсутствие лиц, участвующих в деле","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",1157,163
"Статья 157. Последствия неявки в судебное заседание экспертов, свидетелей, переводчиков","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",647,87
"Статья 158. Отложение судебного разбирательства","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",3829,493
"Статья 159. Разрешение арбитражным судом заявлений и ходатайств лиц, участвующих в деле","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",2247,293
"Статья 160. Рассмотрение дела в раздельных заседаниях арбитражного суда","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",1666,221
"Статья 161. Заявление о фальсификации доказательства","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",966,116
"Статья 162. Исследование доказательств","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",1236,150
"Статья 163. Перерыв в судебном заседании","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",1193,162
"Статья 164. Судебные прения","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",1481,195
"Статья 165. Возобновление исследования доказательств","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",454,52
"Статья 166. Окончание рассмотрения дела по существу","Глава 19. СУДЕБНОЕ РАЗБИРАТЕЛЬСТВО",315,40
"Статья 167. Принятие решения","Глава 20. РЕШЕНИЕ АРБИТРАЖНОГО СУДА",1138,162
"Статья 168. Вопросы, разрешаемые при принятии решения","Глава 20. РЕШЕНИЕ АРБИТРАЖНОГО СУДА",1141,143
"Статья 169. Изложение решения","Глава 20. РЕШЕНИЕ АРБИТРАЖНОГО СУДА",1030,142
